,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,366,68,111,amsterdam,44,dutch,0,71508
1,303,158,197,amsterdam,44,dutch,0,71508
2,465,213,278,amsterdam,44,dutch,0,71508
3,172,98,111,amsterdam,44,dutch,0,71508
4,256,68,56,amsterdam,44,dutch,0,71508
5,594,219,278,amsterdam,44,dutch,0,71508
6,588,151,140,amsterdam,44,dutch,0,71508
7,317,152,197,amsterdam,44,dutch,0,71508
8,657,153,195,amsterdam,44,dutch,0,71508
9,103,157,195,amsterdam,44,dutch,0,71508
10,762,130,137,amsterdam,44,dutch,0,71508
11,224,130,140,amsterdam,44,dutch,0,71508
12,442,153,195,amsterdam,44,dutch,0,71508
13,193,129,111,amsterdam,44,dutch,0,71508
14,373,94,112,amsterdam,44,dutch,0,71508
15,676,68,56,amsterdam,44,dutch,0,71508
16,821,96,112,amsterdam,44,dutch,0,71508
17,507,94,113,amsterdam,44,dutch,0,71508
18,271,71,56,amsterdam,44,dutch,0,71508
19,604,96,111,amsterdam,44,dutch,0,71508
20,891,98,56,amsterdam,44,dutch,0,71508
21,326,213,281,amsterdam,44,dutch,0,71508
22,460,72,55,amsterdam,44,dutch,0,71508
23,369,66,56,amsterdam,44,dutch,0,71508
24,52,130,138,amsterdam,44,dutch,0,71508
25,971,133,140,amsterdam,44,dutch,0,71508
26,214,154,196,amsterdam,44,dutch,0,71508
27,630,134,140,amsterdam,44,dutch,0,71508
28,101,218,278,amsterdam,44,dutch,0,71508
29,806,223,281,amsterdam,44,dutch,0,71508
30,307,94,112,amsterdam,44,dutch,0,71508
31,482,69,56,amsterdam,44,dutch,0,71508
32,628,132,139,amsterdam,44,dutch,0,71508
33,493,132,142,amsterdam,44,dutch,0,71508
34,16,133,138,amsterdam,44,dutch,0,71508
35,515,223,282,amsterdam,44,dutch,0,71508
36,945,134,138,amsterdam,44,dutch,0,71508
37,627,92,113,amsterdam,44,dutch,0,71508
38,925,93,112,amsterdam,44,dutch,0,71508
39,283,92,112,amsterdam,44,dutch,0,71508
40,706,94,110,amsterdam,44,dutch,0,71508
41,83,132,140,amsterdam,44,dutch,0,71508
42,557,98,111,amsterdam,44,dutch,0,71508
43,9,73,140,amsterdam,44,dutch,0,71508
44,567,68,56,amsterdam,44,dutch,0,71508
45,933,132,138,amsterdam,44,dutch,0,71508
46,674,100,111,amsterdam,44,dutch,0,71508
47,10,133,140,amsterdam,44,dutch,0,71508
48,902,157,196,amsterdam,44,dutch,0,71508
49,169,68,56,amsterdam,44,dutch,0,71508
50,807,212,278,amsterdam,44,dutch,0,71508
51,117,68,55,amsterdam,44,dutch,0,71508
52,570,93,112,amsterdam,44,dutch,0,71508
53,346,150,194,amsterdam,44,dutch,0,71508
54,878,94,140,amsterdam,44,dutch,0,71508
55,918,213,278,amsterdam,44,dutch,0,71508
56,34,68,57,amsterdam,44,dutch,0,71508
57,218,153,193,amsterdam,44,dutch,0,71508
58,212,154,193,amsterdam,44,dutch,0,71508
59,591,212,279,amsterdam,44,dutch,0,71508
60,387,217,279,amsterdam,44,dutch,0,71508
61,430,150,194,amsterdam,44,dutch,0,71508
62,311,97,56,amsterdam,44,dutch,0,71508
63,867,129,112,amsterdam,44,dutch,0,71508
64,969,73,56,amsterdam,44,dutch,0,71508
65,140,96,111,amsterdam,44,dutch,0,71508
66,892,157,195,amsterdam,44,dutch,0,71508
67,548,217,278,amsterdam,44,dutch,0,71508
68,529,217,281,amsterdam,44,dutch,0,71508
69,809,212,277,amsterdam,44,dutch,0,71508
70,111,95,112,amsterdam,44,dutch,0,71508
